ID,Title,Difficulty,SV,VHDL,TLV
0000,Simple 2-Input Parameterizable Adder,Easy,,,
0001,Simple 2-Input Parameterizable Subtractor,Easy,,,
0002,Simple 2-Input Parameterizable Multiplier,Easy,,,
0003,Ring Counter,Easy,,,
0004,Ripple Counter,Easy,,,
0005,Parameterizable Sequence Pattern Detector,Medium,,,
0006,Dual Edge Flip Flop,Hard,,,
0007,Parameterizable Mux,Medium,,,
0008,D flip-flop,Easy,,,
0009,Dual Edge Detector,Easy,,,
0010,Simple ALU,Easy,,,
0011,Odd Counter,Easy,,,
0012,Shift Register,Easy,,,
0013,LFSR,Medium,,,
0014,Binary to One-hot,Easy,,,
0015,Binary to Grey,Easy,,,
0016,Self reloading counter,Easy,,,
0017,PISO Parallel in Serial out,Easy,,,
0018,Parameterizable Binary to One-Hot Encoder,Easy,,,
0019,Priority Encoder,Easy,,,
0020,Fixed Priority Arbiter,Medium,,,
0021,Round Robin Arbiter,Medium,,,
0022,Stopwatch Timer,Hard,,,
0023,Simple Memory Interface,Medium,,,
0024,Binary to BCD Converter,Medium,,,
0025,Synchronous FIFO,Medium,,,
0026,7-Segment Display Driver,Easy,,,
0027,Bidirectional Counter,Medium,,,
0028,SIPO Serial In Parallel Out,Easy,,,
0029,Universal Shift Register,Easy,,,
0030,Synchronous LIFO,Medium,,,
0031,Johnson Counter,Medium,,,
0032,Clock Divider,Easy,,,
0033,Asynchronous FIFO,Hard,,,
0034,Gray Code Counter,Medium,,,
0035,Barrel Shifter,Hard,,,
0036,PWM Generator,Medium,,,
0037,UART Transmitter,Hard,,,
0038,Debounce Circuit,Easy,,,
0039,Traffic Light Controller,Hard,,,
0040,CRC Calculator,Hard,,,
0041,13-8 SECDED Hamming Code Encoder,Easy,,,
0042,Population Counter,Medium,,,
0043,Leading Zero Counter,Medium,,,
0044,Thermometer to Binary Decoder,Easy,,,
0045,Carry Lookahead Adder,Hard,,,
0046,FIR Filter,Medium,,,
0047,Moving Average Filter,Easy,,,
0048,Digital Differentiator,Medium,,,
0049,IIR Biquad Filter,Hard,,,
0050,Decimation Filter,Hard,,,
0051,Gray to Binary Converter,Easy,,,
0052,Parity Generator Checker,Easy,,,
0053,Memory Read Controller,Medium,,,
0054,Lookup Table Interpolator,Medium,,,
0055,Memory Arbiter,Hard,,,
0056,Counter Manager,Medium,,,
0057,Histogram Calculator,Medium,,,
0058,Memory Copy Controller,Medium,,,
0059,Scratchpad Accumulator,Medium,,,
0060,Register File Max Finder,Medium,,,
0061,Fibonacci Generator,Easy,,,
0062,GCD Calculator,Medium,,,
0063,Prime Number Checker,Medium,,,
0064,Bubble Sort Engine,Hard,,,
0065,Sequence Reverser,Easy,,,
0066,Running Sum Calculator,Easy,,,
0067,Moving Maximum Filter,Medium,,,
0068,Factorial Calculator,Medium,,,
0069,Palindrome Checker,Medium,,,
0070,Merge Sorted Streams,Hard,,,
0071,Two Sum Finder,Medium,,,
0072,Duplicate Detector,Easy,,,
0073,Min-Max Finder,Easy,,,
0074,Median Calculator,Hard,,,
0075,Run Length Encoder,Medium,,,
0076,Difference Calculator,Easy,,,
0077,Peak Detector,Medium,,,
0078,1D Convolution Engine,Hard,,,
0079,Binary Search,Medium,,,
0080,Matrix Transpose,Hard,,,
0081,Stream Accumulator,Easy,,,
0082,Prefix Sum,Easy,,,
0083,Majority Element Finder,Medium,,,
0084,Longest Consecutive Sequence,Hard,,,
0085,Dot Product Calculator,Medium,,,
0086,Hamming Distance Calculator,Easy,,,
0087,Trailing Zero Counter,Easy,,,
0088,Insertion Sort Engine,Medium,,,
0089,Mode Finder,Medium,,,
0090,Bitonic Sequence Detector,Medium,,,
0091,Ethernet Header Parser,Medium,,,
0092,MAC Address Filter,Easy,,,
0093,IPv4 Header Checksum,Medium,,,
0094,ARP Request Detector,Medium,,,
0095,Packet Length Validator,Easy,,,
0096,VLAN Tag Detector,Easy,,,
0097,ReLU Activation Unit,Easy,,,
0098,MAC Unit,Medium,,,
0099,Max Pooling Unit,Easy,,,
0100,Argmax Unit,Easy,,,
